restoID,restoName,restoContact,restoAddress,latLng,latitude,longitude,wilayahID
Mks2,Konro karebosi,0851-0235-4000,Jl. Gunung Lompo Batang No.41-43 Pisang Utara Kec.Ujung Pandang Kota Makassar,"-5.134444999999999, 119.4151976",-5.134445,119.4151976,
Mks6,Pisang Epe Mandiri,0,Jl. Ali Malaka No.45 Kec.Ujung Pandang Kota Makassar,"-5.1407804, 119.407481",-5.1407804,119.407481,
Mks7,Mie Titi Perintis,441584300,Jl. Perintis Kemerdekaan Tamalanrea jaya Kec.Tamalanrea Kota Makassar,"-5.1413308, 119.4849608",-5.1413308,119.4849608,
Mks8,Warung Sop Ubi Datumuseng,81524982909,"Jl. Datu Museng, Losari Kec.Ujung pandang Kota Makassar","-5.1435001, 119.4099681",-5.1435001,119.4099681,
Mks9,Warung Songkolo Bagadang Alhamdulillah,82396650503,"Jl. Pengayoman Komp Pasar Segar Kampung Kuline, Kec.Panakukang Kota Makassar","-5.1622318, 119.4515654",-5.1622318,119.4515654,
Mks10,Coto Paraikatte,82345000086,Jl. A. P. Pettarani No.125 Bua Kana Kec.Rappocini Kota Makassar,"-5.156935199999999, 119.4366481",-5.1569352,119.4366481,
Mks11,Sop Saudara Irian 1,811448885,Jl. Dokter Wahidin Sudiro Husodo No.40 Pattunuang Kec.Wajo Kota Makassar,"-5.1293559, 119.4123547",-5.1293559,119.4123547,
Mks12,Coto Paraikatte Perintis,85656442534,Jl. Perintis Kemerdekaan KM.9 Kec.Tamalanrea Kota Makassar,"-5.141403299999999, 119.4816332",-5.1414033,119.4816332,
Mks13,Mama Toko Kue dan Es Krim,411435672,Jl. Bau Mangga No.9 Masale Kec.Panakkukang Kota Makassar,"-5.1615056, 119.4438452",-5.1615056,119.4438452,
Mks14,Disepanjang Pantai Losari,0,"Jalan Penghibur, Losari Kec.Ujung Pandang Kota Makassar","-5.1387485, 119.4057848",-5.1387485,119.4057848,
Mnd6,RM. Dabu Dabu Lemong,82393429550,"Jl. Boulevard 2, Tuminting, Manado","1.5107804, 124.8441907",1.5107804,124.8441907,
Mnd7,Tuna House Resto,85299990112,"Jl. Karangria, kecamatan tuminting, manado","1.5134969, 124.8486181",1.5134969,124.8486181,
Mnd8,Wakop Kemang Manado,82191515351,Jl. Boulevard 2 No. 1 Kompleks Kawasan Sindulang Megamas,"1.4844215, 124.8329818",1.4844215,124.8329818,
Mnd9,Bambuden Resto,85100372961,"Jl. Pemuda 1, Sario, Manado","1.4674787, 124.8340884",1.4674787,124.8340884,
Mnd10,RM. Mutiara,4317284052,"Kompleks Ruko Winangun, Jl. Samratulangi, Malalayang, Manado","1.4775381, 124.8372026",1.4775381,124.8372026,
Mnd11,RM. Raja Ikan Bakar Stadion Klabat,82194243338,"Jl. Stadiom Klabat, Sario, Manado","1.4585766, 124.8371443",1.4585766,124.8371443,
Mnd12,Mawar Sharron Resto,431859866,"Wanea Plaza, Jl. Sam Ratulangi, Wanea, Manado","1.4636371, 124.8397635",1.4636371,124.8397635,
Mnd13,RM. Afui,81242889000,"Jl. Samratulangi No. 383, Wanea, Manado","1.4636259, 124.8408527",1.4636259,124.8408527,
Mnd14,RM. Pignik,81273396416,"Jl. Santo Joseph, Sari","3.5395425, 98.60460359999999",3.5395425,98.6046036,
Mnd15,RM. Om Pala Sario,8987775344,"Jl. Laut Aru, Sario, Manado","1.4622136, 124.8360048",1.4622136,124.8360048,
Mnd16,RM. Berkat Bersama,85342167171,"Jl. Wolter Monginsidi, Malalayang, Manado","1.4577022, 124.80624",1.4577022,124.80624,
Mnd17,RM. Natasya Tikala,0,"Jl. Lumimuut, Wenang, Manado","1.4830216, 124.8458906",1.4830216,124.8458906,
Mnd18,RM. Raja Kepiting Wenang,82293935566,"Jl. Jendral Sudirman, Wenang, Manado","1.4892748, 124.84499",1.4892748,124.84499,
Mnd19,RM. Wulan,82324268558,"Jl. Sam Ratulangi No. 435, Sario, Manado","1.4577736, 124.8378796",1.4577736,124.8378796,
Mnd20,"RM. Pelmas Tanta Olla, Ikip Bawah",81340341222,"Jl. Bethesda, Sario, Manado","1.4637439, 124.832889",1.4637439,124.832889,
Pdg6,Ikan bakar Pondok mungil pak tris,75138211,Jln Hos Cokroaminoto 88B Kota Padang,"-0.9601245, 100.3563738",-0.9601245,100.3563738,
Pdg7,RM lamun Ombak,7517051426,Jln Khatib Sulaiman no 99 Ulak karang selatan Kecamatan Padang Utara Kota padang,"-0.9089899999999999, 100.3530861",-0.90899,100.3530861,
Pdg8,RM Sederhana Padang,751447774,Jln Rasuna Said no 81 A Rimbo kaluang Kecamatan Padang barat Kota Padang,"-0.9306384999999998, 100.3610073",-0.9306385,100.3610073,
Pdg9,RM Silungkang,7518957080,Simpang haru Sawahan Timur Kota Padang,"-0.9422038, 100.3758936",-0.9422038,100.3758936,
Pdg10,Es Durian Ganti Nan Lamo,75126203,Jln HOS Cokroaminoto No 31b Kota padang,"-0.959179, 100.3609839",-0.959179,100.3609839,
Pdg11,Malabar Arham,82169173753,Jln Mahakam no 23 Kota Padang,"-0.8969115999999999, 100.3757571",-0.8969116,100.3757571,
Pdg12,Es Durian iko gantinyo,8561103785,JlnPulauKaramno103BKotapadang,"-0.9593968, 100.3606061",-0.9593968,100.3606061,
Pdg13,Galamai Tek Tam,81316748855,"Jl. Latsitarda, Payakumbuh","-0.2235621, 100.623916",-0.2235621,100.623916,
Pdg14,Sanjai Rina,81363429779,"Sanjai Rina Jl. Imam Bonjol, belakang terminal Koto nan Ampek, Kota Payakumbuh, Sumatra Barat","-0.2410761, 100.6103835",-0.2410761,100.6103835,
Pdg15,CHIP christine hakim Idea park,8116685000,"Jl. Adinegoro no 11 A, padang, Indonesia","-0.8403742999999999, 100.3291078",-0.8403743,100.3291078,
Pdg16,Asia Baru,81371792628,Jl. Soekarno hatta depan budiman,"-0.226861, 100.6280604",-0.226861,100.6280604,
Pdg17,Kawa daun,82286995554,"Situjuah Limo Nagari, Pyakumbuh","-0.3036745, 100.6309169",-0.3036745,100.6309169,
Pdg18,Rumah Makan yul,82281868975,"Jl. Jend Ahmad Yani, Labuh Basilang, Kota Payakumbuh, 27218","-0.232659, 100.637773",-0.232659,100.637773,
Pdg19,Rumah makan mis Munin,0,"Jl. Raya Negara No. KM 9, sarilamak, Kec. Harau, Kab. Lima Puluh Kota, Sumbar, 26271","-0.1285112, 100.6872457",-0.1285112,100.6872457,
Pdg20,Tangah sawah Resto,811666250,Djamalludin wak Ketok Pisang- Pauh - Padang,"-0.9441423999999999, 100.4073311",-0.9441424,100.4073311,
Plb6,Mie ayam dan pempek phoniek,0,"Jln. Yosudarso No. 67 kel. Pasar pemiri, Lubuklinggau, Sumsel","-3.2962281, 102.863281",-3.2962281,102.863281,
Plb7,Model ojo lali,0,"Jl. Garuda dempo RT. 01, Kel. Keputraan, Lubuklinggau, Sumsel","-3.2932303, 102.8584668",-3.2932303,102.8584668,
Plb8,Pempek Oshin,0,"Jl. Bukit kaba No.194, Kel. Dempo, Lubuklinggau, Sumsel.","-3.2955513, 102.8682555",-3.2955513,102.8682555,
